P_City,SaleDate,TotalSales,Cum_Sales
" ANTIOCH",2013-12-23,468959,196886868
" ANTIOCH",2013-12-24,145000,197031868
" ANTIOCH",2013-12-26,452000,197483868
" ANTIOCH",2013-12-27,3380600,200864468
" ANTIOCH",2013-12-30,1203500,202067968
" ANTIOCH",2013-12-31,70587500,272655468
" ANTIOCH",2014-01-02,286000,272941468
" ANTIOCH",2014-01-03,186000,273127468
" ANTIOCH",2014-01-06,112000,273239468
" ANTIOCH",2014-01-07,146000,273385468
" ANTIOCH",2014-01-09,145000,273530468
" ANTIOCH",2014-01-10,598800,274129268
" ANTIOCH",2014-01-13,269000,274398268
" ANTIOCH",2014-01-14,326750,274725018
" ANTIOCH",2014-01-15,246990,274972008
" ANTIOCH",2014-01-16,174000,275146008
" ANTIOCH",2014-01-17,1203590,276349598
" ANTIOCH",2014-01-20,118000,276467598
" ANTIOCH",2014-01-21,181200,276648798
" ANTIOCH",2014-01-23,281583,276930381
" ANTIOCH",2014-01-24,1422140,278352521
" ANTIOCH",2014-01-27,362958,278715479
" ANTIOCH",2014-01-29,17000,278732479
" ANTIOCH",2014-01-30,811105,279543584
" ANTIOCH",2014-01-31,867650,280411234
" ANTIOCH",2014-02-03,728000,281139234
" ANTIOCH",2014-02-04,110000,281249234
" ANTIOCH",2014-02-05,330100,281579334
" ANTIOCH",2014-02-06,682800,282262134
" ANTIOCH",2014-02-07,621700,282883834
" ANTIOCH",2014-02-10,204900,283088734
" ANTIOCH",2014-02-12,487805,283576539
" ANTIOCH",2014-02-13,238000,283814539
" ANTIOCH",2014-02-14,480900,284295439
" ANTIOCH",2014-02-17,337500,284632939
" ANTIOCH",2014-02-18,482000,285114939
" ANTIOCH",2014-02-19,352400,285467339
" ANTIOCH",2014-02-20,3816825,289284164
" ANTIOCH",2014-02-21,899900,290184064
" ANTIOCH",2014-02-24,519900,290703964
" ANTIOCH",2014-02-25,991620,291695584
" ANTIOCH",2014-02-26,252900,291948484
" ANTIOCH",2014-02-27,559500,292507984
" ANTIOCH",2014-02-28,1294267,293802251
" ANTIOCH",2014-03-04,487260,294289511
" ANTIOCH",2014-03-05,156000,294445511
" ANTIOCH",2014-03-06,497000,294942511
" ANTIOCH",2014-03-07,654400,295596911
" ANTIOCH",2014-03-11,176000,295772911
" ANTIOCH",2014-03-12,420200,296193111
" ANTIOCH",2014-03-13,312900,296506011
" ANTIOCH",2014-03-14,1112970,297618981
" ANTIOCH",2014-03-17,476700,298095681
" ANTIOCH",2014-03-18,627312,298722993
" ANTIOCH",2014-03-19,797500,299520493
" ANTIOCH",2014-03-20,134900,299655393
" ANTIOCH",2014-03-21,962500,300617893
" ANTIOCH",2014-03-24,685200,301303093
" ANTIOCH",2014-03-25,520300,301823393
" ANTIOCH",2014-03-26,525500,302348893
